,title,originallink,link,description,pubDate
406,"<b>에스파</b>, 日 첫 쇼케이스 성료 &quot;앞으로도 행복한 순간 함께 하고 싶어&quot;",http://enter.etoday.co.kr/view/news_view.php?varAtcId=228873,http://enter.etoday.co.kr/view/news_view.php?varAtcId=228873,비즈엔터 맹선미 기자 | <b>에스파</b>(aespa)가 팬들의 열광 속에 일본 첫 단독 쇼케이스를 성공적으로 마치며 뜨거운 글로벌 인기를 입증했다. <b>에스파</b>는 지난 6~7일 양일간 일본 요코하마에 위치한 피아 아레나... ,"Mon, 08 Aug 2022 15:48:00 +0900"
407,"내달렸던 엔터주, 고개 드는 게임주…&apos;옥석 가리기&apos; 시간 왔다",https://www.hankyung.com/finance/article/2022080859651,https://n.news.naver.com/mnews/article/015/0004734115?sid=101,"에스엠은 이달 초 컴백한 <b>에스파</b>의 음반 판매가 호조를 기록하고 있고, 안정적으로 수익을 낼 수 있는 슈퍼주니어·소녀시대·NCT127 등이 컴백을 기다리고 있다. 주 수익원으로 꼽히는 일본 투어 등도 예정돼 있다. 올해... ","Mon, 08 Aug 2022 15:11:00 +0900"
408,"[기사열독 순위] 영탁 96회째 1위, 이찬원·홍현희·방탄소년단 지민·김기태...",http://www.topstarnews.net/news/articleView.html?idxno=14717478,http://www.topstarnews.net/news/articleView.html?idxno=14717478,"조회수 집계를 시작한 10월 1일 이래 열독률 1위를 차지한 스타와 1위 횟수는 영탁 96회, 이찬원 57회, 임영웅 11회, 김희재 5회, 박창근 5회, 송가인 4회, <b>에스파</b> 2회, 김연아 2회 등과 같다. 최근 집계... ","Mon, 08 Aug 2022 14:40:00 +0900"
409,"<b>에스파</b>, 일본 첫 쇼케이스서 4만 대중 매료",http://www.joseilbo.com/news/news_read.php?uid=462778&class=40,https://n.news.naver.com/mnews/article/123/0002282656?sid=106,그룹 <b>에스파</b>가 일본 현지 첫 쇼케이스를 성공적으로 마쳤다. 소속사 SM엔터테인먼트는 &quot;<b>에스파</b>가 지난 6~7일 양일간 일본 요코하마 피아 아레나 MM에서 열린 현지 첫 단독 쇼케이스 &apos;<b>에스파</b> 재팬 프리미엄 쇼케이스 2022... ,"Mon, 08 Aug 2022 13:41:00 +0900"
410,소녀시대 컴백에 에스엠 주가 상승 이어질까,http://www.g-enews.com/ko-kr/news/article/news_all/2022080813114358619e1b7aa231_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/2022080813114358619e1b7aa231_1/article.html,"3분기 슈주·<b>에스파</b>·소시에 이은 NCT 127의 컴백 효과로 최대 실적 기대 걸그룹 &apos;소녀시대&apos;가 5년 만에 새... 이와 함께 에스엠은 올 3분기에 슈퍼주니어, <b>에스파</b>, 소녀시대에 이어 NCT 127의 컴백으로 사상 최대 실적을... ","Mon, 08 Aug 2022 13:38:00 +0900"
411,"<b>에스파</b>, 日쇼케 성료…4만여 현지 대중 매료",http://www.etnews.com/20220808000118,https://n.news.naver.com/mnews/article/030/0003035629?sid=106,"<b>에스파</b>(aespa)가 4만여 일본 대중과 함께 한 현지 첫 행사와 함께, 글로벌 그룹으로서의 성공적인 발걸음을 내딛었다. 8일 SM엔터테인먼트 측은 <b>에스파</b>가 지난 6~7일 양일간 일본 요코하마 피아 아레나... ","Mon, 08 Aug 2022 12:48:00 +0900"
412,"[스타서베이 주간] 라포엠 1위(40.7%), MSG워너비·포레스텔라·방탄소년단·...",http://www.topstarnews.net/news/articleView.html?idxno=14717440,http://www.topstarnews.net/news/articleView.html?idxno=14717440,", 스테이씨, 라필루스, 위너, 케플러, 드리핀, 레드벨벳, (여자)아이들, 더보이즈, WSG워너비, WSG워너비 사파이어, 세븐틴, 엔시티, <b>에스파</b>, 슈퍼주니어, 있지, 아이브, 하이키, 몬스타엑스, 피원하모니, 샤이니, 빌리... ","Mon, 08 Aug 2022 12:40:00 +0900"
413,"<b>에스파</b>, 日 첫 쇼케이스에 92만명 응모…4만 관객 열광 속 대성황",https://www.spotvnews.co.kr/news/articleView.html?idxno=541654,https://n.news.naver.com/mnews/article/477/0000375205?sid=106,&apos;메타버스 그룹&apos; <b>에스파</b>가 일본 첫 단독 쇼케이스를 성공적으로 마쳤다. <b>에스파</b>는 지난 6~7일 이틀간 일본 요코하마 피아 아레나 MM에서 일본 첫 단독 쇼케이스 &apos;<b>에스파</b> 저팬 프리미엄 쇼케이스 2022 ~싱크~&apos;를 열었다. 첫... ,"Mon, 08 Aug 2022 12:32:00 +0900"
414,"[스타서베이 주간] 영탁 1위(18.7%), 이승윤·김기태·장민호·양준일 TOP5…...",http://www.topstarnews.net/news/articleView.html?idxno=14717420,http://www.topstarnews.net/news/articleView.html?idxno=14717420,"현재까지 46명의 스타가 표를 얻었고, <b>에스파</b> 카리나, 블랙핑크 지수 등은 아직 표를 얻지 못했다. ◆ 남녀가수 종합순위 남녀 가수 종합순위 TOP30을 살펴 보면 1위 영탁, 2위 이승윤, 3위 김기태, 4위... ","Mon, 08 Aug 2022 12:06:00 +0900"
415,"<b>에스파</b>, 日 첫 쇼케이스부터 92만명 응모 기염...4만 관객 열광 속 대성황",https://www.sportsw.kr/news/newsview.php?ncode=1065581782245625,https://www.sportsw.kr/news/newsview.php?ncode=1065581782245625," <b>에스파</b>(aespa, 에스엠엔터테인먼트 소속)가 일본 첫 단독 쇼케이스를 성공적으로 마쳤다. ▲<b>에스파</b>, 日 첫 쇼케이스부터 92만 명 응모 기염...4만 관객 열광 속 대성황/SM엔터테인먼트 <b>에스파</b>는 지난 6~7일... ","Mon, 08 Aug 2022 11:58:00 +0900"
